fixture	workload	assumed_refund_realms	baseline_gas	candidate_gas	gas_delta	baseline_net_bytes	candidate_net_bytes	storage_delta_bytes	cpu_delta	deposit_gain_ugnot	refund_gain_ugnot	storage_gain_ugnot	gas_repricing_gain_ugnot	net_gain_ugnot	net_5pct_gas_margin_ugnot	net_fixed_fee_ugnot
staker_collect_reward_with_external_rewards_5_filetest.gno	CollectReward With External Rewards (5 incentives)		53057905	53684209	626304	28757	28757	0	610316	0	0	0	-626.304	-626.304	-657.6192	0
staker_collect_reward_with_external_rewards_5_filetest.gno	CollectReward With External Rewards 2nd (5 incentives)		51305551	51931855	626304	52	52	0	610316	0	0	0	-626.304	-626.304	-657.6192	0
staker_collect_reward_with_warmup_range_filetest.gno	CollectReward with Warmup Range (30% ~ 30%)		14035434	14214378	178944	11119	11119	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_with_warmup_range_filetest.gno	CollectReward with Warmup Range (30% ~ 50%)		16054353	16278033	223680	58	58	0	217970	0	0	0	-223.68	-223.68	-234.864	0
staker_collect_reward_with_warmup_range_filetest.gno	CollectReward with Warmup Range (30% ~ 70%)		18359219	18627635	268416	18	18	0	261564	0	0	0	-268.416	-268.416	-281.8368	0
staker_collect_reward_with_warmup_range_filetest.gno	CollectReward with Warmup Range (30% ~ 100%)		20688012	21001164	313152	18	18	0	305158	0	0	0	-313.152	-313.152	-328.8096	0
staker_collect_reward_with_warmup_range_filetest.gno	CollectReward with Warmup Range (100% ~)		13453682	13632626	178944	-6	-6	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_collect_reward_with_warmup_range_filetest.gno	CollectReward with Warmup Range 2nd (100% ~)		13338329	13517273	178944	0	0	0	174376	0	0	0	-178.944	-178.944	-187.8912	0
staker_create_external_incentive_filetest.gno	CreateExternalIncentive		3858805	3882182	23377	66634	65803	-831	23170	83100	0	83100	-23.377	83076.623	83075.45415	83100
staker_end_external_incentive_filetest.gno	EndExternalIncentive	gno.land/r/onbloc/bar	2312242	2312242	0	-1979	-1979	0	0	0	0	0	0	0	0	0
staker_end_external_incentive_unclaimable100_filetest.gno	EndExternalIncentive (unclaimablePeriods=100)		2352154	2352154	0	147	147	0	0	0	0	0	0	0	0	0
staker_end_external_incentive_unclaimable10_filetest.gno	EndExternalIncentive (unclaimablePeriods=10)		2301857	2301857	0	141	141	0	0	0	0	0	0	0	0	0
staker_end_external_incentive_unclaimable50_filetest.gno	EndExternalIncentive (unclaimablePeriods=50)		2314287	2314287	0	141	141	0	0	0	0	0	0	0	0	0
staker_halving_tick_cross_batch_10_filetest.gno	Swap (halving, 10 staked tick-crosses)		106403913	106558948	155035	3729	2898	-831	153952	83100	0	83100	-155.035	82944.965	82937.21325	83100
staker_halving_tick_cross_batch_1_filetest.gno	Swap (halving, 1 staked tick-cross)		32197775	32352810	155035	2813	1982	-831	153952	83100	0	83100	-155.035	82944.965	82937.21325	83100
staker_halving_tick_cross_batch_50_filetest.gno	Swap (halving, 50 staked tick-crosses)		445343810	445498827	155017	7260	6423	-837	153952	83700	0	83700	-155.017	83544.983	83537.23215	83700
staker_staked_liquidity_collect1_filetest.gno	StakedLiquidity RewardCollect external=1 history-grown first		20998343	21266759	268416	423	423	0	261564	0	0	0	-268.416	-268.416	-281.8368	0
staker_staked_liquidity_collect1_filetest.gno	StakedLiquidity RewardCollect external=1 history-grown same-time second		4061971	4151443	89472	0	0	0	87188	0	0	0	-89.472	-89.472	-93.9456	0
staker_staked_liquidity_collect1_filetest.gno	StakedLiquidity RewardCollect external=1 history-grown later		21125801	21394217	268416	0	0	0	261564	0	0	0	-268.416	-268.416	-281.8368	0
staker_staked_liquidity_collect4_filetest.gno	StakedLiquidity RewardCollect external=4 history-grown first		41819576	42356408	536832	1365	1365	0	523128	0	0	0	-536.832	-536.832	-563.6736	0
staker_staked_liquidity_collect4_filetest.gno	StakedLiquidity RewardCollect external=4 history-grown same-time second		4631304	4720776	89472	0	0	0	87188	0	0	0	-89.472	-89.472	-93.9456	0
staker_staked_liquidity_collect4_filetest.gno	StakedLiquidity RewardCollect external=4 history-grown later		42769167	43305999	536832	0	0	0	523128	0	0	0	-536.832	-536.832	-563.6736	0
staker_staked_liquidity_controls_filetest.gno	StakedLiquidity Control SameTimestamp Stake		10688739	10843561	154822	23434	23434	0	153952	0	0	0	-154.822	-154.822	-162.5631	0
staker_staked_liquidity_controls_filetest.gno	StakedLiquidity Control SameTimestamp Unstake		11390291	11589846	199555	-16327	-16327	0	197546	0	0	0	-199.555	-199.555	-209.53275	0
staker_staked_liquidity_controls_filetest.gno	StakedLiquidity Control PositiveTransition		14020753	14175788	155035	24880	24049	-831	153952	83100	0	83100	-155.035	82944.965	82937.21325	83100
staker_staked_liquidity_controls_filetest.gno	StakedLiquidity Control ZeroTransition		23110474	23399717	289243	-20096	-20927	-831	284734	0	83100	83100	-289.243	82810.757	82796.29485	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle InitialStake		14166770	14321808	155038	33025	32194	-831	153952	83100	0	83100	-155.038	82944.962	82937.2101	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle Unstake 1		23120150	23409656	289506	-20096	-20927	-831	284734	0	83100	83100	-289.506	82810.494	82796.0187	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle Restake 1		16919717	17074752	155035	24869	24038	-831	153952	83100	0	83100	-155.035	82944.965	82937.21325	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle Unstake 2		25448149	25737129	288980	-22151	-22982	-831	284734	0	83100	83100	-288.98	82811.02	82796.571	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle Restake 2		16948116	17103151	155035	24869	24038	-831	153952	83100	0	83100	-155.035	82944.965	82937.21325	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle Unstake 3		25463355	25752598	289243	-22143	-22974	-831	284734	0	83100	83100	-289.243	82810.757	82796.29485	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle Restake 3		16963436	17118471	155035	24867	24036	-831	153952	83100	0	83100	-155.035	82944.965	82937.21325	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle Unstake 4		25496358	25785601	289243	-22151	-22982	-831	284734	0	83100	83100	-289.243	82810.757	82796.29485	83100
staker_staked_liquidity_cycles_filetest.gno	StakedLiquidity Lifecycle Restake 4		16970491	17125526	155035	24863	24032	-831	153952	83100	0	83100	-155.035	82944.965	82937.21325	83100
